[03:01:08:005966 +02:00] [Thread 4836] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM: Exile_Bike_QuadBike_Black (ID# <null>) with Cargo [] FOR 1250 POPTABS AND 125 RESPECT | PLAYER TOTAL MONEY: 1250
[04:01:32:983303 +02:00] [Thread 4748] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM H_HelmetB_snakeskin FOR 30 POPTABS AND 3 RESPECT | PLAYER TOTAL MONEY: 177
[04:01:38:844638 +02:00] [Thread 4836] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM ItemRadio FOR 20 POPTABS AND 2 RESPECT | PLAYER TOTAL MONEY: 197
[08:11:30:955138 +02:00] [Thread 4748] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM: Exile_Car_Tractor_Red (ID# <null>) with Cargo [] FOR 1000 POPTABS AND 100 RESPECT | PLAYER TOTAL MONEY: 1000
[09:43:11:378767 +02:00] [Thread 4124] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_Rope FOR 20 POPTABS | PLAYER TOTAL MONEY: 980
[10:00:04:022687 +02:00] [Thread 3564] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM: Exile_Car_Volha_Blue (ID# <null>) with Cargo [] FOR 3000 POPTABS AND 300 RESPECT | PLAYER TOTAL MONEY: 3000
[11:10:37:510168 +02:00] [Thread 4328] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM: C_Offroad_01_F (ID# <null>) with Cargo ["FirstAidKit","FirstAidKit","FirstAidKit","FirstAidKit"] FOR 0 POPTABS AND 0 RESPECT | PLAYER TOTAL MONEY: 3000
[11:11:47:724184 +02:00] [Thread 4328] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM: LR_Ambulance_02 (ID# <null>) with Cargo [] FOR 0 POPTABS AND 0 RESPECT | PLAYER TOTAL MONEY: 3000
[11:13:49:707161 +02:00] [Thread 4328] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED VEHICLE Exile_Car_HEMMT FOR 48000 POPTABS | PLAYER TOTAL MONEY: 5000
[11:15:47:426894 +02:00] [Thread 4328] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED VEHICLE Exile_Chopper_Taru_Transport_Black FOR 17000 POPTABS | PLAYER TOTAL MONEY: 163000
[11:17:33:548964 +02:00] [Thread 5996] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM 20Rnd_762x51_Mag FOR 20 POPTABS | PLAYER TOTAL MONEY: 162980
[11:17:34:489017 +02:00] [Thread 5436] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM 20Rnd_762x51_Mag FOR 20 POPTABS | PLAYER TOTAL MONEY: 162960
[11:17:35:370068 +02:00] [Thread 5996] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM 20Rnd_762x51_Mag FOR 20 POPTABS | PLAYER TOTAL MONEY: 162940
[11:17:36:270119 +02:00] [Thread 5436] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM 20Rnd_762x51_Mag FOR 20 POPTABS | PLAYER TOTAL MONEY: 162920
[11:17:37:170171 +02:00] [Thread 5996] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM 20Rnd_762x51_Mag FOR 20 POPTABS | PLAYER TOTAL MONEY: 162900
[11:17:38:110225 +02:00] [Thread 5436] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM 20Rnd_762x51_Mag FOR 20 POPTABS | PLAYER TOTAL MONEY: 162880
[11:17:41:440415 +02:00] [Thread 5996] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM 20Rnd_762x51_Mag FOR 20 POPTABS | PLAYER TOTAL MONEY: 162860
[11:17:52:290036 +02:00] [Thread 5996] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM muzzle_snds_B_khk_F FOR 25 POPTABS AND 2.5 RESPECT | PLAYER TOTAL MONEY: 162885
[11:18:22:473762 +02:00] [Thread 4328] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM muzzle_snds_B FOR 20 POPTABS | PLAYER TOTAL MONEY: 162865
[11:18:30:435217 +02:00] [Thread 5996] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM G_Spectacles FOR 3 POPTABS AND 0.3 RESPECT | PLAYER TOTAL MONEY: 162868
[11:18:33:694404 +02:00] [Thread 5436] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM ItemRadio FOR 20 POPTABS AND 2 RESPECT | PLAYER TOTAL MONEY: 162888
[11:49:18:292909 +02:00] [Thread 6104] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM: Exile_Bike_QuadBike_Nato (ID# <null>) with Cargo [] FOR 1250 POPTABS AND 125 RESPECT | PLAYER TOTAL MONEY: 114138
[11:49:33:497779 +02:00] [Thread 6104] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM: Exile_Car_Octavius_White (ID# <null>) with Cargo [] FOR 3000 POPTABS AND 300 RESPECT | PLAYER TOTAL MONEY: 117138
[11:50:57:191566 +02:00] [Thread 5904] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_EMRE FOR 54 POPTABS | PLAYER TOTAL MONEY: 117084
[11:50:58:212624 +02:00] [Thread 5600] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_EMRE FOR 54 POPTABS | PLAYER TOTAL MONEY: 117030
[11:50:59:151678 +02:00] [Thread 5904] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_EMRE FOR 54 POPTABS | PLAYER TOTAL MONEY: 116976
[11:51:00:112733 +02:00] [Thread 6104] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_EMRE FOR 54 POPTABS | PLAYER TOTAL MONEY: 116922
[11:51:01:051786 +02:00] [Thread 5904] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_EMRE FOR 54 POPTABS | PLAYER TOTAL MONEY: 116868
[11:51:01:732825 +02:00] [Thread 5600] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_EMRE FOR 54 POPTABS | PLAYER TOTAL MONEY: 116814
[11:51:03:511927 +02:00] [Thread 5904] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_PlasticBottleCoffee FOR 70 POPTABS | PLAYER TOTAL MONEY: 116744
[11:51:04:472982 +02:00] [Thread 6104] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_PlasticBottleCoffee FOR 70 POPTABS | PLAYER TOTAL MONEY: 116674
[11:51:05:272028 +02:00] [Thread 5904] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_PlasticBottleCoffee FOR 70 POPTABS | PLAYER TOTAL MONEY: 116604
[11:51:06:133077 +02:00] [Thread 5600] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_PlasticBottleCoffee FOR 70 POPTABS | PLAYER TOTAL MONEY: 116534
[11:51:06:932123 +02:00] [Thread 5904] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_PlasticBottleCoffee FOR 70 POPTABS | PLAYER TOTAL MONEY: 116464
[11:51:07:753170 +02:00] [Thread 6104] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_PlasticBottleCoffee FOR 70 POPTABS | PLAYER TOTAL MONEY: 116394
[11:51:08:552215 +02:00] [Thread 5904] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_PlasticBottleCoffee FOR 70 POPTABS | PLAYER TOTAL MONEY: 116324
[11:51:09:353261 +02:00] [Thread 5600] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_PlasticBottleCoffee FOR 70 POPTABS | PLAYER TOTAL MONEY: 116254
[11:51:34:255685 +02:00] [Thread 5904] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_CanOpener FOR 80 POPTABS | PLAYER TOTAL MONEY: 116174
[11:51:49:617564 +02:00] [Thread 6104] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_Handsaw FOR 500 POPTABS | PLAYER TOTAL MONEY: 115674
[12:00:04:699881 +02:00] [Thread 6104] PLAYER: ( 76561197995369312 ) R Alpha 1-1:1 (Oliver-Rehrmann) REMOTE SOLD ITEM: Exile_Car_Volha_Blue (ID# <null>) with Cargo [] FOR 3000 POPTABS AND 300 RESPECT | PLAYER TOTAL MONEY: 115789
[12:01:18:883124 +02:00] [Thread 6104] PLAYER: ( 76561197995369312 ) R Alpha 1-1:1 (Oliver-Rehrmann) REMOTE PURCHASED VEHICLE Exile_Chopper_Orca_BlackCustom FOR 28000 POPTABS | PLAYER TOTAL MONEY: 87789
[13:53:09:272155 +02:00] [Thread 2560] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM: Exile_Chopper_Orca_BlackCustom (ID# 7) with Cargo [] FOR 14000 POPTABS AND 1400 RESPECT | PLAYER TOTAL MONEY: 14000
